timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent
2026-03-22T00:41:54.020110623,10.0.2.15,185.125.190.56,0,0,NTP,90
2026-03-22T00:41:54.484945245,185.125.190.56,10.0.2.15,0,0,NTP,90
2026-03-22T00:41:57.245253273,fd17:625c:f037:2:3056:fb45:1e32:b2be,2620:2d:4000:1::98,51318,80,TCP,94
2026-03-22T00:41:57.246702379,2620:2d:4000:1::98,fd17:625c:f037:2:3056:fb45:1e32:b2be,80,51318,TCP,74
2026-03-22T00:41:59.185319660,PcsCompu_a0:6f:b2,52:55:0a:00:02:02,0,0,ARP,42
2026-03-22T00:41:59.186515133,52:55:0a:00:02:02,PcsCompu_a0:6f:b2,0,0,ARP,64
2026-03-22T00:42:00.246412323,fd17:625c:f037:2:adee:79d4:bf1:4aa6,ff02::fb,0,0,MDNS,107
2026-03-22T00:42:00.422763197,10.0.2.15,224.0.0.251,0,0,MDNS,87
2026-03-22T00:42:02.257719813,fe80::b057:ba75:ea0a:3979,fe80::2,0,0,ICMPV6,86
2026-03-22T00:42:02.258929945,fe80::2,fe80::b057:ba75:ea0a:3979,0,0,ICMPV6,86
2026-03-22T00:42:14.389098970,10.0.2.15,10.10.10.10,0,0,DNS,100
2026-03-22T00:42:14.934512765,10.10.10.10,10.0.2.15,0,0,DNS,268
2026-03-22T00:42:18.483012483,10.0.2.15,10.10.10.10,0,0,DNS,95
2026-03-22T00:42:18.484206616,10.0.2.15,10.10.10.10,0,0,DNS,95
2026-03-22T00:42:18.512719280,10.10.10.10,10.0.2.15,0,0,DNS,209
2026-03-22T00:42:18.512719689,10.10.10.10,10.0.2.15,0,0,DNS,221
2026-03-22T00:42:18.578344955,10.0.2.15,34.107.221.82,48552,80,TCP,74
2026-03-22T00:42:18.605422316,34.107.221.82,10.0.2.15,80,48552,TCP,60
2026-03-22T00:42:18.605473788,10.0.2.15,34.107.221.82,48552,80,TCP,54
2026-03-22T00:42:18.606183419,10.0.2.15,34.107.221.82,0,0,HTTP,350
2026-03-22T00:42:18.606474781,34.107.221.82,10.0.2.15,80,48552,TCP,60
2026-03-22T00:42:18.631453036,34.107.221.82,10.0.2.15,0,0,HTTP,270
2026-03-22T00:42:18.632105004,10.0.2.15,34.107.221.82,48552,80,TCP,54
2026-03-22T00:42:18.657823058,10.0.2.15,10.10.10.10,0,0,DNS,82
2026-03-22T00:42:18.662430456,10.0.2.15,34.107.221.82,48554,80,TCP,74
2026-03-22T00:42:18.663052953,fd17:625c:f037:2:3056:fb45:1e32:b2be,2600:1901:0:38d7::,38368,80,TCP,94
2026-03-22T00:42:18.663695251,2600:1901:0:38d7::,fd17:625c:f037:2:3056:fb45:1e32:b2be,80,38368,TCP,74
2026-03-22T00:42:18.664210496,10.0.2.15,10.10.10.10,0,0,DNS,82
2026-03-22T00:42:18.669088708,10.0.2.15,10.10.10.10,0,0,DNS,84
2026-03-22T00:42:18.669846890,10.0.2.15,10.10.10.10,0,0,DNS,84
2026-03-22T00:42:18.674761116,10.0.2.15,10.10.10.10,0,0,DNS,95
2026-03-22T00:42:18.675644221,10.0.2.15,10.10.10.10,0,0,DNS,95
2026-03-22T00:42:18.676298969,10.0.2.15,10.10.10.10,0,0,DNS,91
2026-03-22T00:42:18.677888979,10.0.2.15,10.10.10.10,0,0,DNS,91
2026-03-22T00:42:18.679647363,fd17:625c:f037:2:3056:fb45:1e32:b2be,2600:1901:0:38d7::,38370,80,TCP,94
2026-03-22T00:42:18.680355893,2600:1901:0:38d7::,fd17:625c:f037:2:3056:fb45:1e32:b2be,80,38370,TCP,74
2026-03-22T00:42:18.689355227,34.107.221.82,10.0.2.15,80,48554,TCP,60
2026-03-22T00:42:18.689417578,10.0.2.15,34.107.221.82,48554,80,TCP,54
2026-03-22T00:42:18.689355751,10.10.10.10,10.0.2.15,0,0,DNS,116
2026-03-22T00:42:18.690356592,10.0.2.15,34.107.221.82,0,0,HTTP,355
2026-03-22T00:42:18.690741152,34.107.221.82,10.0.2.15,80,48554,TCP,60
2026-03-22T00:42:18.691103091,10.10.10.10,10.0.2.15,0,0,DNS,141
2026-03-22T00:42:18.697421343,10.10.10.10,10.0.2.15,0,0,DNS,111
2026-03-22T00:42:18.697421774,10.10.10.10,10.0.2.15,0,0,DNS,123
2026-03-22T00:42:18.707408525,10.0.2.15,10.10.10.10,0,0,DNS,108
2026-03-22T00:42:18.708728381,10.0.2.15,10.10.10.10,0,0,DNS,108
2026-03-22T00:42:18.716707385,34.107.221.82,10.0.2.15,0,0,HTTP,270
2026-03-22T00:42:18.716753376,10.0.2.15,34.107.221.82,48554,80,TCP,54
2026-03-22T00:42:18.716707810,10.10.10.10,10.0.2.15,0,0,DNS,138
2026-03-22T00:42:18.716707827,10.10.10.10,10.0.2.15,0,0,DNS,114
2026-03-22T00:42:18.725627906,10.0.2.15,10.10.10.10,0,0,DNS,100
2026-03-22T00:42:18.726657503,10.10.10.10,10.0.2.15,0,0,DNS,160
2026-03-22T00:42:18.727405586,10.0.2.15,10.10.10.10,0,0,DNS,100
2026-03-22T00:42:18.735536425,10.10.10.10,10.0.2.15,0,0,DNS,172
2026-03-22T00:42:18.736861680,10.0.2.15,151.101.125.91,42470,443,TCP,74
2026-03-22T00:42:18.745562000,10.10.10.10,10.0.2.15,0,0,DNS,162
2026-03-22T00:42:18.745562322,10.10.10.10,10.0.2.15,0,0,DNS,155
2026-03-22T00:42:18.751162493,10.0.2.15,185.199.111.153,57034,443,TCP,74
2026-03-22T00:42:18.755945407,10.10.10.10,10.0.2.15,0,0,DNS,152
2026-03-22T00:42:18.755945790,10.10.10.10,10.0.2.15,0,0,DNS,164
2026-03-22T00:42:18.759057590,10.0.2.15,151.101.125.91,42474,443,TCP,74
2026-03-22T00:42:18.761306107,151.101.125.91,10.0.2.15,443,42470,TCP,60
2026-03-22T00:42:18.761353021,10.0.2.15,151.101.125.91,42470,443,TCP,54
2026-03-22T00:42:18.764764896,10.0.2.15,151.101.125.91,0,0,TLSV1.3,571
2026-03-22T00:42:18.765398869,151.101.125.91,10.0.2.15,443,42470,TCP,60
2026-03-22T00:42:18.777355635,185.199.111.153,10.0.2.15,443,57034,TCP,60
2026-03-22T00:42:18.777403928,10.0.2.15,185.199.111.153,57034,443,TCP,54
2026-03-22T00:42:18.779425161,10.0.2.15,185.199.111.153,0,0,TLSV1.3,571
2026-03-22T00:42:18.779681199,185.199.111.153,10.0.2.15,443,57034,TCP,60
2026-03-22T00:42:18.783549823,151.101.125.91,10.0.2.15,443,42474,TCP,60
2026-03-22T00:42:18.783592161,10.0.2.15,151.101.125.91,42474,443,TCP,54
2026-03-22T00:42:18.791480947,151.101.125.91,10.0.2.15,0,0,TLSV1.3,2774
2026-03-22T00:42:18.791526869,10.0.2.15,151.101.125.91,42470,443,TCP,54
2026-03-22T00:42:18.793430329,151.101.125.91,10.0.2.15,0,0,TLSV1.3,764
2026-03-22T00:42:18.793449235,10.0.2.15,151.101.125.91,42470,443,TCP,54
2026-03-22T00:42:18.805241611,185.199.111.153,10.0.2.15,0,0,TLSV1.3,2934
2026-03-22T00:42:18.805274199,10.0.2.15,185.199.111.153,57034,443,TCP,54
2026-03-22T00:42:18.806464083,185.199.111.153,10.0.2.15,0,0,TLSV1.3,516
2026-03-22T00:42:18.806516521,10.0.2.15,185.199.111.153,57034,443,TCP,54
2026-03-22T00:42:18.819009239,10.0.2.15,151.101.125.91,0,0,TLSV1.3,571
2026-03-22T00:42:18.819420152,151.101.125.91,10.0.2.15,443,42474,TCP,60
2026-03-22T00:42:18.844338227,10.0.2.15,185.199.111.153,0,0,TLSV1.3,118
2026-03-22T00:42:18.845280192,185.199.111.153,10.0.2.15,443,57034,TCP,60
2026-03-22T00:42:18.845280242,151.101.125.91,10.0.2.15,0,0,TLSV1.3,2934
2026-03-22T00:42:18.845306112,10.0.2.15,151.101.125.91,42474,443,TCP,54
2026-03-22T00:42:18.845707896,151.101.125.91,10.0.2.15,0,0,TLSV1.3,593
2026-03-22T00:42:18.845718185,10.0.2.15,151.101.125.91,42474,443,TCP,54
2026-03-22T00:42:18.851332305,10.0.2.15,185.199.111.153,0,0,TLSV1.3,224
2026-03-22T00:42:18.852038198,185.199.111.153,10.0.2.15,443,57034,TCP,60
2026-03-22T00:42:18.859196162,10.0.2.15,185.199.111.153,0,0,TLSV1.3,379
2026-03-22T00:42:18.859867026,185.199.111.153,10.0.2.15,443,57034,TCP,60
2026-03-22T00:42:18.868603752,10.0.2.15,151.101.125.91,0,0,TLSV1.3,118
2026-03-22T00:42:18.869454730,151.101.125.91,10.0.2.15,443,42470,TCP,60
2026-03-22T00:42:18.875657573,185.199.111.153,10.0.2.15,0,0,TLSV1.3,119
2026-03-22T00:42:18.875685037,10.0.2.15,185.199.111.153,57034,443,TCP,54
2026-03-22T00:42:18.878253458,10.0.2.15,151.101.125.91,0,0,TLSV1.3,118
2026-03-22T00:42:18.879051646,151.101.125.91,10.0.2.15,443,42474,TCP,60
2026-03-22T00:42:18.893911295,10.0.2.15,151.101.125.91,0,0,TLSV1.3,224
2026-03-22T00:42:18.894963048,151.101.125.91,10.0.2.15,443,42470,TCP,60
2026-03-22T00:42:18.898267533,10.0.2.15,151.101.125.91,0,0,TLSV1.3,301
2026-03-22T00:42:18.898700588,151.101.125.91,10.0.2.15,443,42470,TCP,60
2026-03-22T00:42:18.908600055,10.0.2.15,185.199.111.153,0,0,TLSV1.3,85
2026-03-22T00:42:18.909420616,185.199.111.153,10.0.2.15,443,57034,TCP,60
2026-03-22T00:42:18.913348687,185.199.111.153,10.0.2.15,0,0,TLSV1.3,2927
2026-03-22T00:42:18.913373526,10.0.2.15,185.199.111.153,57034,443,TCP,54
2026-03-22T00:42:18.918755914,151.101.125.91,10.0.2.15,0,0,TLSV1.3,119
2026-03-22T00:42:18.918783403,10.0.2.15,151.101.125.91,42470,443,TCP,54
2026-03-22T00:42:18.924241421,151.101.125.91,10.0.2.15,0,0,TLSV1.3,222
2026-03-22T00:42:18.924271199,10.0.2.15,151.101.125.91,42470,443,TCP,54
2026-03-22T00:42:18.961557333,10.0.2.15,151.101.125.91,0,0,TLSV1.3,224
2026-03-22T00:42:18.962968059,151.101.125.91,10.0.2.15,443,42474,TCP,60
2026-03-22T00:42:18.982132188,10.0.2.15,151.101.125.91,0,0,TLSV1.3,272
